Espèces;slope_size_d15N;slope_depth_d15N;slope_size_depth
Xenodermichthys copei;-0,008;0,000185185;-0,001408064
Lampanyctus macdonaldi;0,082;0,000185185;-0,000405405
Notoscopelus kroyeri;0,011;9,13E-05;0,001624907
Searsia koefoedi;0,077;9,13E-05;0,000643323
Argyropelecus olfersii;0,066;0,000429265;0,000363467
Lampanyctus crocodilus;0,203;0,000559717;0,002582329
Myctophum punctatum;0,339;-2,06E-05;0,000336401
Arctozenus risso;-0,041;0,000452712;0,000336401
Serrivomer beanii;0,019;0,000197086;-0,002238931
Melanostigma atlanticum;0,244;0,001198583;0,004883626
