species;relation;value
Lampanyctus crocodilus;depth;0
Lampanyctus crocodilus;depth_size;0,075
Lampanyctus crocodilus;size;0,257
Lampanyctus crocodilus;residuals;0,672
Myctophum punctatum;depth;0,007
Myctophum punctatum;depth_size;0
Myctophum punctatum;size;0,247
Myctophum punctatum;residuals;0,765
Melanostigma atlanticum;depth;0
Melanostigma atlanticum;depth_size;0,07
Melanostigma atlanticum;size;0,101
Melanostigma atlanticum;residuals;0,865
Serrivomer beanii;depth;0
Serrivomer beanii;depth_size;0
Serrivomer beanii;size;0,132
Serrivomer beanii;residuals;0,894
Argyropelecus olfersii;depth;0,057
Argyropelecus olfersii;depth_size;0,007
Argyropelecus olfersii;size;0,034
Argyropelecus olfersii;residuals;0,902
Lampanyctus macdonaldi;depth;0
Lampanyctus macdonaldi;depth_size;0
Lampanyctus macdonaldi;size;0,014
Lampanyctus macdonaldi;residuals;1,013
Searsia koefoedi;depth;0
Searsia koefoedi;depth_size;0,005
Searsia koefoedi;size;0
Searsia koefoedi;residuals;1,039
Notoscopelus kroyeri;depth;0
Notoscopelus kroyeri;depth_size;0,003
Notoscopelus kroyeri;size;0
Notoscopelus kroyeri;residuals;1,013
Xenodermichthys copei;depth;0,055
Xenodermichthys copei;depth_size;0
Xenodermichthys copei;size;0
Xenodermichthys copei;residuals;0,953
Arctozenus risso;depth;0,005
Arctozenus risso;depth_size;0,023
Arctozenus risso;size;0,058
Arctozenus risso;residuals;0,914
